Nome produto;Culturas registradas;Doenças, pragas e plantas daninhas controladas;Dose recomendada;Volume calda;Classe;Empresa;Pais
OBERON;Quiabo (Abelmoschus esculentus);Ácaro-branco (Polyphagotarsonemus latus);0,4 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Mandioca (Manihot esculenta);Ácaro-vermelho (Tetranychus cinnabarinus);0,4 - 0,6 L/ha ;200 - 400 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Milho (Zea mays);Ácaro-rajado (Tetranychus urticae);0,3 - 0,6 L/ha ;Terrestre: 200 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Milho (Zea mays);Ácaro-rajado (Tetranychus urticae);0,3 - 0,6 L/ha ;Aérea: 30 - 50 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Soja (Glycine max);Ácaro-rajado (Tetranychus urticae);0,4 - 0,6 L/ha ;Terrestre: 100 - 300 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Soja (Glycine max);Ácaro-rajado (Tetranychus urticae);0,4 - 0,6 L/ha ;Aérea: 30 - 50 L/ha ;Acaricida;Bayer;Brazil (BR)
OBERON;Tomate (Solanum lycopersicum);Ácaro-rajado (Tetranychus urticae);0,5 - 0,6 L/ha ;400 - 1000 L/ha ;Acaricida;Bayer;Brazil (BR)
ALIETTE®;Abacaxi (Ananas comosus);Podridão-das-raízes (Phytophthora nicotianae var. parasitica);1 g/L de água;600-1000 L/ha;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Café (Coffea arabica);Seca-de-ponteiros (Phoma costaricensis);2 kg/ha ;200 - 500 L/ha ;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Citros (Citrus spp.);Gomose (Phytophthora citrophthora);250 g/100 L de água;1000 - 2000 L/ha ;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Citros (Citrus spp.);Gomose (Phytophthora nicotianae var. parasitica);250 g/100 L de água;1000 - 2000 L/ha ;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Citros (Citrus spp.);Estiolamento (Pythium aphanidermatum);250 g/100 L de água;sementeiras: 10 L/m²;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Maçã (Malus domestica);Podridão-da-raiz (Phytophthora cactorum);250 g/100 L de água;1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Maçã (Malus domestica);Cancro Europeu (Neonectria galligena);250 g/100 L de água;1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Seringueira (Hevea brasiliensis);Cancro-do-painel (Phytophthora palmivora);2500 g/100 L de água;2,5 - 3,0 L/ha;Fungicida;Bayer;Brazil (BR)
ALIETTE®;Videira (Vitis vinifera);Míldio (Plasmopora viticola);250 g/100 L de água;1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Batata (Solanum tuberosum);Pinta-preta (Alternaria solani);3 kg/ha ;500 - 800 L/ha;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Batata (Solanum tuberosum);Requeima (Phytophthora infestans);3 kg/ha ;500 - 800 L/ha;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Cebola (Allium cepa);Mancha-púrpura (Alternaria porri);3,0 kg/ha;300 - 500 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Cebola (Allium cepa);Míldio (Peronospora destructor);2,5 - 3,0 kg/ha;300 - 500 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Feijão (Phaseolus vulgaris);Ferrugem (Uromyces appendiculatus);2,0 - 2,5 kg/ha;200 - 400 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Feijão (Phaseolus vulgaris);Mancha-angular (Phaeoisariopsis griseola);2,0 - 2,5 kg/ha;200 - 400 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Fumo (Nicotiana tabacum);Antracnose (Colletotrichum gloeosporioides);400 g/100  L de água;Terrestre: 2-4 L de calda por 15 m²;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Maçã (Malus domestica);Mancha-foliar-da-gala (Colletotrichum gloeosporioides);400 g/100L de água;1000 - 1500 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Maçã (Malus domestica);Sarna (Venturia inaequalis);250 - 300 g/100L de água;1000 - 1500 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Melão (Cucumis melo);Míldio (Pseudoperonospora cubensis);2,5 - 3,0 kg/ha;300 - 800 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Tomate (Solanum lycopersicum);Pinta-preta (Alternaria solani);3,0 kg/ha ;300 - 1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Tomate (Solanum lycopersicum);Septoriose (Septoria lycopersici);3,0 kg/ha ;300 - 1000 L/ha ;Fungicida;Bayer;Brazil (BR)
ANTRACOL® 700 WP;Tomate (Solanum lycopersicum);Requeima (Phytophthora infestans);3,0 kg/ha ;300 - 1000 L/ha ;Fungicida;Bayer;Brazil (BR)
